-35.0,-2.0,1.0,0.77
-35.0,-12.0,-1.0,0.47
10.0,4.0,1.0,0.71
35.0,-9.0,-1.0,0.83
-20.0,-4.0,1.0,0.55
20.0,-4.0,-1.0,0.43
-15.0,-2.0,1.0,0.41
0.0,-16.0,-1.0,0.35
25.0,-4.0,1.0,0.60
-5.0,-12.0,1.0,0.43
10.0,8.0,1.0,0.65
10.0,-2.0,-1.0,0.66
-20.0,4.0,1.0,0.68
20.0,-9.0,-1.0,0.41
20.0,-6.0,-1.0,0.36
-30.0,-4.0,1.0,0.42
-30.0,-16.0,-1.0,0.69
-30.0,-9.0,1.0,0.79
-5.0,4.0,1.0,0.44
35.0,-2.0,1.0,0.44
-25.0,-4.0,1.0,0.39
35.0,-4.0,-1.0,0.72
-5.0,-6.0,1.0,0.51
-15.0,1.0,1.0,0.51
20.0,-16.0,-1.0,0.39
-25.0,8.0,1.0,0.38
25.0,-16.0,-1.0,0.37
-5.0,1.0,1.0,0.38
-10.0,-6.0,1.0,0.49
-40.0,-4.0,1.0,0.53
-10.0,-9.0,1.0,0.66
40.0,-4.0,1.0,0.65
-35.0,8.0,1.0,0.50
-10.0,4.0,1.0,0.51
-5.0,-2.0,1.0,0.45
-40.0,-6.0,1.0,0.54
30.0,-9.0,-1.0,0.67
15.0,-12.0,-1.0,0.40
40.0,-12.0,-1.0,0.53
0.0,4.0,1.0,0.56
25.0,-2.0,1.0,0.42
-35.0,-16.0,-1.0,0.48
-45.0,-16.0,-1.0,0.38
-20.0,8.0,1.0,0.41
5.0,4.0,1.0,0.42
15.0,-12.0,-1.0,0.33
-30.0,4.0,1.0,0.82
30.0,4.0,-1.0,0.32
20.0,-2.0,-1.0,0.41
-30.0,-16.0,-1.0,0.64
20.0,-16.0,1.0,0.21
-35.0,-9.0,1.0,0.57
-45.0,-6.0,1.0,0.60
20.0,-9.0,-1.0,0.27
10.0,8.0,1.0,0.72
0.0,-6.0,-1.0,0.66
-40.0,1.0,1.0,0.42
35.0,1.0,1.0,0.48
-45.0,-9.0,-1.0,0.51
-5.0,1.0,1.0,0.46
5.0,1.0,1.0,0.56
0.0,-2.0,1.0,0.82
-40.0,-4.0,1.0,0.45
20.0,-4.0,-1.0,0.48
-30.0,1.0,1.0,0.60
-25.0,1.0,1.0,0.41
-25.0,4.0,1.0,0.56
-15.0,-12.0,-1.0,0.46
25.0,-6.0,-1.0,0.38
35.0,-6.0,-1.0,0.44
35.0,8.0,1.0,0.39
-35.0,-12.0,1.0,0.86
35.0,-12.0,-1.0,0.27
10.0,-2.0,-1.0,0.46
-25.0,-12.0,-1.0,0.48
-5.0,-2.0,1.0,0.43
-20.0,-4.0,1.0,0.41
-30.0,-4.0,1.0,0.48
-5.0,-4.0,1.0,0.44
15.0,8.0,-1.0,0.27
20.0,8.0,-1.0,0.71
-15.0,8.0,1.0,0.44
30.0,-6.0,-1.0,0.38
-35.0,1.0,1.0,0.42
15.0,-2.0,1.0,0.69
-45.0,-2.0,1.0,0.50
10.0,1.0,-1.0,0.49
15.0,1.0,-1.0,0.35
-30.0,-6.0,-1.0,0.38
20.0,1.0,-1.0,0.42
10.0,-16.0,-1.0,0.34
25.0,-9.0,-1.0,0.39
-30.0,-9.0,-1.0,0.43
-40.0,-6.0,-1.0,0.39
-15.0,-6.0,1.0,0.39
-35.0,-6.0,1.0,0.38
-35.0,-16.0,1.0,0.35
-10.0,-6.0,1.0,0.55
-25.0,-16.0,1.0,0.68
-15.0,4.0,1.0,0.58
0.0,1.0,1.0,0.60
40.0,8.0,1.0,0.63
35.0,4.0,1.0,0.32
-45.0,-12.0,-1.0,0.61
-30.0,-2.0,1.0,0.38
0.0,8.0,1.0,0.38
-5.0,-16.0,-1.0,0.40
5.0,8.0,1.0,0.32
10.0,-12.0,-1.0,0.53
-10.0,-4.0,1.0,0.67
0.0,-12.0,-1.0,0.39
-35.0,4.0,1.0,0.27
25.0,-16.0,-1.0,0.37
30.0,8.0,1.0,0.26
30.0,-12.0,-1.0,0.38
10.0,-9.0,-1.0,0.46
-5.0,-12.0,-1.0,0.39
0.0,4.0,1.0,0.32
-40.0,-9.0,-1.0,0.43
-45.0,-4.0,-1.0,0.58
25.0,1.0,-1.0,0.59
-10.0,8.0,1.0,0.33
-20.0,-12.0,1.0,0.27
30.0,-2.0,-1.0,0.28
40.0,-6.0,-1.0,0.27
40.0,-16.0,-1.0,0.36
-15.0,-9.0,1.0,0.75
-10.0,1.0,1.0,0.30
-45.0,4.0,1.0,0.25
15.0,-6.0,1.0,0.28
-45.0,-16.0,-1.0,0.25
-45.0,8.0,1.0,0.52
10.0,-6.0,-1.0,0.28
10.0,-4.0,1.0,0.25
-40.0,-16.0,-1.0,0.28
-15.0,-2.0,1.0,0.31
15.0,-9.0,-1.0,0.36
-20.0,-2.0,1.0,0.44
40.0,-2.0,-1.0,0.30
40.0,-12.0,-1.0,0.30
-15.0,1.0,-1.0,0.42
-40.0,8.0,1.0,0.22
-40.0,-2.0,1.0,0.41
40.0,-4.0,-1.0,0.27
30.0,-9.0,-1.0,0.25
-10.0,-12.0,-1.0,0.22
-30.0,8.0,1.0,0.66
5.0,-12.0,-1.0,0.39
-15.0,-4.0,1.0,0.43
-35.0,-4.0,1.0,0.84
-25.0,-9.0,-1.0,0.52
-10.0,-9.0,-1.0,0.27
-40.0,4.0,1.0,0.48
-5.0,-9.0,-1.0,0.44
5.0,-2.0,-1.0,0.35
-10.0,-16.0,-1.0,0.46
-20.0,4.0,1.0,0.37
25.0,8.0,1.0,0.35
5.0,-4.0,-1.0,0.57
-20.0,-6.0,1.0,0.62
-5.0,4.0,1.0,0.46
15.0,-4.0,-1.0,0.35
-25.0,-2.0,1.0,0.37
35.0,-2.0,-1.0,0.52
40.0,4.0,-1.0,0.39
-25.0,-6.0,1.0,0.30
35.0,-16.0,-1.0,0.40
-20.0,-16.0,1.0,0.61
5.0,-16.0,-1.0,0.36
40.0,-9.0,1.0,0.40
5.0,-9.0,-1.0,0.58
-15.0,-16.0,1.0,0.41
30.0,1.0,-1.0,0.30
40.0,1.0,1.0,0.49
0.0,-16.0,-1.0,0.50
5.0,-6.0,-1.0,0.55
20.0,4.0,1.0,0.63
25.0,-2.0,1.0,0.38
0.0,-9.0,1.0,0.43
-30.0,-12.0,1.0,0.42
-25.0,-4.0,1.0,0.43
-10.0,-2.0,1.0,0.40
-45.0,1.0,1.0,0.36
-20.0,-9.0,1.0,0.46
-10.0,4.0,1.0,0.46
25.0,-4.0,-1.0,0.33
30.0,-4.0,-1.0,0.48
30.0,-16.0,-1.0,0.32
-5.0,8.0,1.0,0.37
10.0,4.0,-1.0,0.38
-20.0,1.0,1.0,0.43
-20.0,8.0,1.0,0.38
20.0,-6.0,-1.0,0.35
15.0,4.0,1.0,0.67
-40.0,-12.0,-1.0,0.38
0.0,-4.0,1.0,0.45
-35.0,8.0,1.0,0.65
35.0,-9.0,-1.0,1.06
20.0,-12.0,-1.0,0.37
25.0,-12.0,-1.0,0.38
-35.0,-2.0,1.0,0.39
-5.0,-6.0,1.0,0.28
-25.0,8.0,1.0,0.50
15.0,-16.0,-1.0,0.35
35.0,-4.0,-1.0,0.50
25.0,4.0,1.0,0.64
25.0,-16.0,-1.0,0.35
-5.0,4.0,1.0,0.36
-25.0,-9.0,1.0,0.30
30.0,4.0,1.0,0.49
10.0,8.0,1.0,0.33
-40.0,8.0,1.0,0.41
-25.0,-2.0,-1.0,0.23
40.0,1.0,1.0,0.29
-35.0,4.0,1.0,0.37
35.0,-9.0,-1.0,0.37
-45.0,-4.0,-1.0,0.38
-35.0,-6.0,1.0,0.35
0.0,1.0,1.0,0.48
-30.0,1.0,1.0,0.42
5.0,-9.0,-1.0,0.60
30.0,-4.0,-1.0,0.35
-15.0,-2.0,1.0,0.47
10.0,1.0,1.0,0.47
-35.0,-16.0,-1.0,0.31
5.0,1.0,-1.0,0.56
10.0,-2.0,-1.0,0.67
-30.0,8.0,1.0,0.37
-25.0,-4.0,1.0,0.59
-40.0,4.0,1.0,0.50
-25.0,4.0,1.0,0.36
